# pce,e_homo_alpha
5.16195320211971,-5.46760078740294
5.2613977233692,-5.10482419467609
0,-4.53952567287262
6.13829369542661,-5.23027445338351
1.99136566470237,-4.8421190094708
5.60513478857347,-5.55191087183926
2.64443641930939,-5.1879324144068
2.52305655873057,-4.99767026257405
3.1158951050846,-5.46913959183236
2.74321377891055,-4.98710624740493
2.40841131373757,-5.03131491941631
2.84327790532769,-4.9025906196108
2.68724019638341,-5.27549682028117
2.8446368983132,-4.78920592502927
6.46251246238048,-5.20240460581576
2.63146328874209,-5.0108511636194
2.03915811352424,-4.74074406290405
0.237204563447386,-4.6249623237532
3.10383123118601,-5.00950414806147
5.38525291629117,-4.96860641924942
5.48948942078778,-4.90124157478828
6.20409348575883,-5.17005468385709
0,-4.49944701123171
2.16725162664095,-4.93062319718781
4.11298236915351,-4.89954882002972
3.21256529851421,-5.28356751158616
3.08884387902497,-5.08226213429058
2.55288566054067,-4.94111463011233
4.24735634211112,-5.25395973081254
5.86094155920194,-5.09739395631436
6.517681214808,-5.29165911671789
3.23500933153574,-5.18563829471594
5.77312239250714,-5.07034284700954
1.09332471491903,-4.6732571731658
2.16533484121416,-5.06353183513565
0.603648236014507,-4.64654103156824
2.08713531385934,-4.85675627172995
3.78878100687211,-5.31257470683216
4.65613070619513,-5.18441608254115
2.55008853356721,-4.78804075737281
1.82288872074367,-4.81955646312618
2.27135453168472,-4.92914955721154
1.65972262743299,-4.83520583752661
2.26260354071911,-5.39214950029899
2.63202602075579,-5.17415996169099
3.44109061249995,-5.41187384864152
5.08971317852211,-5.03743650605501
5.078563976499,-5.48552803085703
4.53717275057668,-4.98699687322927
2.49353999883907,-5.03948918143865
4.19395680239644,-5.25480375113185
2.87690902880195,-5.1016346351092
4.02509353036473,-4.98269248041683
3.13862634441077,-5.19029691691539
2.9874349034783,-5.22020783282819
1.6038005562867,-5.0060644160506
4.70679153173958,-5.3146535930132
0,-4.41002298343686
4.27591946801874,-5.13888356008608
5.41631978877573,-5.07026682737834
4.75733989373201,-5.16121632083209
4.21460950891455,-5.22503223542051
2.08625937688582,-4.7983545897034
3.13197590537884,-5.23866850461388
5.12180286042716,-5.15144469729604
2.75248857594228,-5.14807472728677
5.08420774877741,-5.06451071435826
3.73766803652849,-5.29912483934039
2.43339694019423,-5.27876534736849
2.79030693404795,-4.94601379075964
3.39450023356924,-5.39537755824472
1.79093665896821,-4.92956734105817
1.51396802529053,-4.80821774838406
0.240372876819015,-4.62550847244352
3.67653816586384,-5.17401902203939
5.00162405743549,-5.11037804295112
2.03264000106379,-4.84147960342702
4.65097453306565,-5.10771747619284
1.23048448714495,-4.68231359644817
5.21755802624464,-4.86814903751011
8.07806293692085,-5.35299851994068
2.65752566589354,-5.21852474202103
1.9720109438949,-5.04130674616113
2.90308913973397,-4.86153748590406
1.6269839647042,-4.75254126779259
9.48584250897074,-5.29660732126643
2.78563954653399,-4.95687868537914
5.29078179156102,-5.30399379818487
2.78695587109679,-4.91839180331798
1.65314933279624,-4.72971803746362
3.16184660532033,-4.89983970611286
1.9948241919304,-4.8122954942673
3.61190077993007,-5.33653416872395
3.21568767696782,-4.99876340105442
3.38417658461541,-5.25401966673038
5.03183400343446,-5.18718174712888
5.77798504117871,-5.0269511636239
3.0168164350367,-4.93975022668372
4.59141396067437,-4.94721795619434
6.84508931591337,-5.39877664903649
1.04754267581412,-4.73997185142696
3.50440249302145,-5.27725430197534
6.06505296957111,-5.3328279623867
4.8992777069982,-5.040148927325
6.82748126191012,-5.22913339846316
3.14405028367338,-4.90135173747588
0.18038946196814,-4.62128027688247
2.14290894332762,-5.07955117897657
3.15652651070857,-5.15634128709649
1.14303192824584,-4.67959586661611
4.79492318452252,-5.07858514672642
9.18379857908345,-5.20746089128674
3.3129642782147,-5.18391361656358
3.72833053029995,-5.43434497158022
3.20478899411914,-5.42344679927864
4.07785138052427,-5.24272844919772
3.95007595087129,-5.13001674448574
4.13114298960895,-5.23606651757643
1.61868799246059,-4.87489913378712
3.61187219850164,-5.36386999463154
2.8413578686925,-4.85959623181236
1.57414688594983,-4.81826908885458
1.56252750798869,-4.76043891346027
0,-4.34626939503135
3.1850691244649,-5.43613529434811
1.92001737197348,-4.98692729955158
2.29815375549593,-5.20772860926744
0,-4.56745344577566
0.0544370073038419,-4.603659486854
2.49471705182042,-4.78473178521805
0,-4.5967662557917
6.74811544165326,-4.9576509552835
3.19764057335643,-4.78398948268883
3.98825055318636,-5.17795068331155
6.15496000525977,-5.23999085991263
0.878222488039571,-4.6749077400299
5.99999612801324,-5.39498826787626
0.393646208549573,-4.62673930106821
2.1714836603146,-5.35300735790859
5.14252042921003,-5.1583285199721
3.34241267088136,-5.12430575141855
4.58372106040182,-4.90247318900832
2.40938872965182,-5.25696409637141
1.87652108360429,-4.8539251578651
8.39775914377368,-5.06083597129877
2.59038285678272,-5.13138051912971
4.96007990971153,-5.08438693297161
