,weight [lb],fluffiness [inches],happiness [unitless]
0,15.7698766572836,9.38215422744377,99.51720983475553
1,28.494633675964437,9.128664205243174,99.51332740610823
2,17.85964406745957,8.955858929837463,99.51834978763648
3,23.218167303573384,10.275486803247981,99.49806543768175
4,16.044904318249742,10.022589233309146,99.50306555665664
5,16.64078332484513,9.710824176555507,99.51700353681333
6,22.5747973993074,8.968065387724808,99.51593834441255
7,20.16932339781761,8.732666394476414,99.51159665416102
8,5.701419347933115,8.878398590038488,99.51336026429543
9,12.333754253659563,9.036288929305544,99.5276726569424
10,19.255696078006245,9.421304015354469,99.50677183104494
11,15.282863980380206,9.613021360287222,99.51372157602331
12,11.373458830738958,10.639707096947005,99.50606138931884
13,23.256241585023716,8.02253605068827,99.50911076107509
14,10.734700126142366,10.12030445122877,99.50115841343072
15,17.89966609341042,9.391981965930214,99.52646788669334
16,17.75054736762926,9.126831353660192,99.50739121950912
17,18.009192684181013,10.517080714118247,99.53825691016289
18,30.43999680188533,10.052204457504871,99.51156103299095
19,18.364982685970755,9.63914332132315,99.53151588965216
20,18.507754264274283,9.750080648448867,99.51878862134235
21,21.84238282732855,9.119546293852558,99.49945225355816
22,19.797645389381074,10.284790293945312,99.51676317965767
23,14.183883940286258,9.250397565307434,99.52715583041957
24,22.686612508160728,9.563143233167137,99.49122079073747
25,18.310593257147627,9.191131250379344,99.50814909438428
26,10.137454939369249,10.32315170655756,99.51333152045117
27,23.513494396234286,10.597465668123574,99.49948589862298
28,15.476491554283289,9.531502434561473,99.50536284585529
29,13.32883882076242,9.650480184124955,99.50259210752262
30,18.48258123422391,9.661974942108106,99.49533127559071
31,18.785354561199515,9.737721275846472,99.49582048578903
32,14.310787456767978,9.422325355983428,99.52798207092401
33,21.68142081708562,9.30126604233584,99.4850882201808
34,12.86695509505908,10.143728660626397,99.50527300163107
35,12.856359882930638,8.454794476983283,99.51271771858048
36,13.489722947840518,10.052629686377715,99.52052689030698
37,19.304435950121082,9.645735292475818,99.50878114324371
38,11.393814168452726,9.530815417191054,99.5122447109111
39,17.602441269377632,9.375665317631164,99.50957170863673
40,22.746409511191956,8.823493413264424,99.50682619043346
41,12.087283042037772,9.380403785032579,99.52052499981947
42,13.276289366444203,9.822792281360789,99.47905725334736
43,18.787340237869355,9.336082966066682,99.51921887478804
44,17.567805335272386,9.957223716519277,99.52205286230507
45,16.26203281508565,10.49062072469631,99.51559647699878
46,17.918875293885172,10.088081960579414,99.51115902509203
47,25.62642950270549,9.784984314761239,99.52164873722197
48,16.274810457025374,9.977328635042207,99.50309004497917
49,11.615856297767259,8.725686668142826,99.52006997136228
50,18.823155594131762,9.431169349338006,99.51005014098244
51,15.544592740245996,9.44359016898833,99.53553470221249
52,31.06179421858785,9.591410491848581,99.51564980406381
53,18.477445451547045,9.413435356312938,99.52546164185827
54,11.460976227612939,9.555702587091726,99.50518628176803
55,20.988224247358236,9.179671647239479,99.51100168700937
56,16.42279368069104,9.153674611154203,99.50488099191065
57,19.57408460641968,9.106612998769709,99.51929445568776
58,14.736079212436998,9.059390793212962,99.51870591781137
59,29.08361751776553,9.036383800655985,99.50785017533458
60,16.6745220003161,9.384637386344922,99.51540234167307
61,16.928298374602882,9.623433287345145,99.51559893508444
62,19.417262045901825,9.796473128241674,99.49873661797606
63,18.96638932733908,8.233467481432772,99.50115480005189
64,22.896814987798727,9.281902759804293,99.51592105024235
65,21.074217937518444,9.888741707469546,99.52229567690097
66,20.429411572095596,9.846852086774064,99.5148519790098
67,21.439167394295048,9.21103477780646,99.51717989834448
68,7.480389595517664,9.811881856033333,99.52743115659536
69,15.097416932141059,9.475843643209021,99.5157113452781
70,18.557997613628928,10.552342466662694,99.51730620004992
71,21.8908656764928,8.482809660828304,99.51157689772815
72,20.019648088879034,10.431057360182969,99.52261344808086
73,14.56616641505396,10.189112855277223,99.50228077031984
74,16.560991067095394,9.944169910146737,99.49318472723223
75,17.028582106766095,8.389077687771831,99.50163285545167
